year,month,day,CO,NO2,O3,PM10,PM25,SO2,airpressure,dewpoint_temp,humi,sealevelpressure,temp,windy,octa,visibility
2016,1,1,0.929166666666667,0.03683333333333335,0.015958333333333338,49.541666666666664,35.166666666666664,0.005833333333333335,1030.3625,-2.720833333333333,71.54166666666667,1031.2208333333335,2.1208333333333336,5,4,6000
2016,1,2,0.7666666666666669,0.032791666666666684,0.018166666666666668,46.916666666666664,26.958333333333332,0.006250000000000002,1022.1000000000004,3.0208333333333335,73.66666666666667,1022.9,7.479166666666668,7,6,7000
2016,1,3,1.0416666666666665,0.03333333333333334,0.02337500000000001,64.58333333333333,41.895833333333336,0.005291666666666668,1018.9875000000001,3.1874999999999996,88.5,1019.7875000000003,4.933333333333333,2,7,1300
2016,1,4,0.8458333333333335,0.014458333333333342,0.033500000000000016,64.0,39.479166666666664,0.005500000000000001,1023.2208333333333,-6.029166666666668,57.291666666666664,1024.075,2.233333333333333,9,4,6000
2016,1,5,0.5708333333333332,0.012500000000000004,0.026833333333333348,29.333333333333332,13.104166666666666,0.005750000000000002,1027.4791666666667,-15.99583333333333,34.958333333333336,1028.3791666666666,-2.1208333333333336,6,2,10000
2016,1,6,0.8125000000000003,0.027666666666666673,0.01770833333333334,49.583333333333336,27.416666666666668,0.006500000000000003,1025.3708333333334,-8.962499999999999,53.708333333333336,1026.2708333333333,-0.7083333333333331,5,5,10000
2016,1,7,0.6791666666666666,0.010375000000000004,0.02895833333333335,30.666666666666668,15.083333333333334,0.005666666666666668,1024.7,-12.087499999999999,48.041666666666664,1025.6,-2.3833333333333333,8,0,10000
2016,1,8,0.6125000000000002,0.017125000000000005,0.024458333333333342,29.416666666666668,14.125,0.0055416666666666696,1023.0791666666669,-11.470833333333333,52.333333333333336,1023.9791666666666,-2.429166666666667,4,1,10000
2016,1,9,0.4791666666666667,0.018416666666666668,0.023958333333333345,32.5,16.604166666666668,0.005458333333333336,1024.7125,-8.691666666666668,58.416666666666664,1025.6125,-1.4541666666666664,4,2,10000
2016,1,10,0.5208333333333334,0.009583333333333338,0.032916666666666684,33.583333333333336,19.208333333333332,0.005541666666666668,1025.7166666666667,-11.1875,41.333333333333336,1026.6125,1.2958333333333327,7,1,10000
2016,1,11,0.45416666666666683,0.009208333333333337,0.030750000000000017,30.916666666666668,17.0,0.005500000000000002,1026.9999999999998,-14.079166666666666,44.666666666666664,1027.9000000000003,-3.4583333333333335,7,1,10000
2016,1,12,0.4166666666666669,0.01104166666666667,0.030541666666666686,28.125,13.333333333333334,0.005000000000000002,1024.3625,-14.187499999999995,47.125,1025.2625,-4.4416666666666655,7,1,10000
