year,month,day,CO,NO2,O3,PM10,PM25,SO2,airpressure,dewpoint_temp,humi,sealevelpressure,temp,date,delay_snow,delay_wind,delay_rain,delay_visibility,delay_cloud,delay_typhoon,delay_fairway,delay_other,cancel_snow,cancel_wind,cancel_rain,cancel_visibility,cancel_cloud,cancel_typhoon,cancel_fairway,cancel_other,delay_sum,cancel_sum,tot
2018,2,20,1.1229166666666666,0.014979166666666668,0.02945833333333334,57.25,24.25,0.004645833333333335,1023.3874999999998,-10.158333333333335,51.333333333333336,1024.2583333333334,0.7125,2018-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,21,0.9083333333333332,0.010083333333333335,0.03262500000000002,34.666666666666664,12.833333333333334,0.004708333333333334,1024.366666666667,-14.758333333333335,36.958333333333336,1025.2666666666667,-1.1708333333333332,2018-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,22,1.0250000000000001,0.023375000000000007,0.026083333333333337,46.208333333333336,20.166666666666668,0.005458333333333336,1021.1125000000001,-4.5375,65.91666666666667,1021.9625,1.2791666666666668,2018-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,23,1.320833333333333,0.029083333333333346,0.026666666666666682,86.66666666666667,38.0,0.0050833333333333355,1019.8083333333333,0.8791666666666668,82.91666666666667,1020.6375000000002,3.566666666666667,2018-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,24,1.1541666666666668,0.015916666666666673,0.02995833333333335,60.75,29.375,0.004416666666666668,1027.1916666666668,-7.291666666666668,57.333333333333336,1028.0875,0.9208333333333334,2018-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,26,1.1166666666666667,0.02462500000000001,0.028083333333333346,49.75,24.333333333333332,0.005375000000000002,1024.5333333333333,-10.108333333333334,46.25,1025.4041666666667,0.9791666666666666,2018-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,27,1.4416666666666667,0.056583333333333326,0.012625000000000006,94.125,43.25,0.011979166666666671,1022.6583333333333,-5.129166666666667,57.5,1023.5041666666663,2.533333333333333,2018-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,28,1.3833333333333337,0.04004166666666667,0.016041666666666666,69.58333333333333,32.833333333333336,0.0049583333333333346,1011.3249999999999,-1.0374999999999999,71.66666666666667,1012.1250000000001,3.8333333333333344,2018-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,1,1.1458333333333337,0.010500000000000002,0.03620833333333335,50.166666666666664,25.770833333333332,0.004000000000000001,1010.9208333333332,-6.379166666666666,62.416666666666664,1011.7541666666667,0.3708333333333334,2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,2,0.8624999999999997,0.016041666666666673,0.029833333333333347,76.04166666666667,12.833333333333334,0.004541666666666668,1018.4708333333333,-14.929166666666665,36.5,1019.3541666666665,-1.3625000000000005,2018-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
